Brand Name,Product Name,Price,Return/Exchange,Expected Delivery,Availability,Page URL
Kadence,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)","4,999",7 days Replacement,"Monday, 9 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYXRmOjMwMDAxNTUzNzk3OTIzMjo6MDo6&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB078GTJP5Y%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Kadence,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)","4,999",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYXRmOjIwMDk2NjA4NzUwNDk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
REVEL,Revel 38 Inches Lindenwood Cutaway Design Acoustic Guitar With Carry Bag And Plectrums. (sunburst),"2,039",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYXRmOjMwMDA1MTU1NTk2MzYzMjo6MDo6&url=%2FLindenwood-Cutaway-Acoustic-Plectrums-sunburst%2Fdp%2FB085HV4YW7%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","11,999",7 days Replacement,"Monday, 9 October",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTY4MjEwMzA1Mzc3NjQyOjE2OTY1NDQwNjg6c3BfYXRmOjIwMDU3MTkzMDU2MjA0OjowOjo&url=%2FKadence-Slowhand-Premium-Acoustic-Instrument%2Fdp%2FB077SZ667X%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1TP2N4QLW8ZN8%26keywords%3DGuitar%26qid%3D1696544068%26sprefix%3D%252Caps%252C644%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, 038C with Bag, Strings, Pick and Strap, Black","1,949",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_5?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-5
Intern,"Intern INT-38C Right hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap, Black, small","1,999",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_6?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-6
Intern,"Intern INT-38C-SB Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","1,999",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_7?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-7
Kadence,"Kadence Guitar Acoustica Series, Electric Acoustic Guitar, Ash Wood with Pickup and Inbuilt tuner (Ash Wood, Electro Acoustic) with bag.","6,999",7 days Replacement,"Monday, 9 October",In stock,https://aax-eu.amazon.in/x/c/RKW_OQcKfee9SRN_JfEuOeMAAAGLAegSZQMAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICD8nP8W/https://www.amazon.in/Kadence-Acoustica-Ash-Wood-Equlizer/dp/B0757H5P13/ref=sxin_17_sbv_search_btf?content-id=amzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e%3Aamzn1.sym.10447c6b-3f84-4df3-b999-01a8bbbf010e&crid=1TP2N4QLW8ZN8&cv_ct_cx=Guitar&keywords=Guitar&pd_rd_i=B0757H5P13&pd_rd_r=aabecd5b-3f16-48e7-9504-cc30de457ab9&pd_rd_w=xLfRf&pd_rd_wg=e4xiG&pf_rd_p=10447c6b-3f84-4df3-b999-01a8bbbf010e&pf_rd_r=SBX84HYYRVZ1VX7GGQ0Z&qid=1696544068&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=%2Caps%2C644&sr=1-1-b614a050-8d70-4320-9c19-cc457ab2a351
YAMAHA,"Yamaha F280 Acoustic Rosewood Guitar (Natural, Beige)","7,499",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_8?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-8
Ibanez,Ibanez Electric Guitar series Gio GRG170DX-BKN,"25,300",7 days Replacement,"Sunday, 8 October",In stock,https://www.amazon.in/Ibanez-GRG170DX-Electric-Guitar-Black/dp/B001EM180O/ref=sr_1_9?crid=1TP2N4QLW8ZN8&keywords=Guitar&qid=1696544068&sprefix=%2Caps%2C644&sr=8-9
