Brand Name,Smartphone Name,Color,RAM,Storage(ROM),Primary Camera,Secondary Camera,Display,Battery,Price,Product URL
 - ,"realme 11 Pro 5G (Oasis Green, 128 GB)  (8 GB RAM)",Oasis Green,8 GB RAM,128 GB ROM,100MP (OIS) + 2MP,16MP Front Camera,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,"₹23,999",https://www.flipkart.com/realme-11-pro-5g-oasis-green-128-gb/p/itm3f783627a36ec?pid=MOBGQWWXAKJNMH2D&lid=LSTMOBGQWWXAKJNMH2DJADI1Z&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_02-g3x_aY8RUwBmEfogSA3tTyQVU6Zrx5ZTI1NjjCsCt6ZHqPiiwV2o5Exo7An8AF5VSTZqtVvDbE5SK0TxsAg%3D%3D&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
MOTOROLA,"MOTOROLA g54 5G (Midnight Blue, 128 GB)  (8 GB RAM)", - ,8 GB RAM,128 GB ROM,50MP (OIS) + 8MP,16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,6000 mAh Battery,"₹13,999",https://www.flipkart.com/motorola-g54-5g-midnight-blue-128-gb/p/itm1867d5933e9e8?pid=MOBGQFX8P4HFEUCD&lid=LSTMOBGQFX8P4HFEUCDCDMGCN&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_02-g3x_aY8RUwBmEfogSA3tTyQVU6Zrx5ZTI1NjjCsAEu38NN9eCynsqdkFSsuN8-ueCVmUjleo0k_JEPutMrw%3D%3D&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
,"MOTOROLA G32 (Mineral Gray, 128 GB)  (8 GB RAM)",Mineral Gray,8 GB RAM,128 GB ROM,50MP + 8MP + 2MP,16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Lithium Polymer Battery,"₹9,999",https://www.flipkart.com/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGM2EHJUTMXMFV.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
,"MOTOROLA e13 (Aurora Green, 64 GB)  (4 GB RAM)",Aurora Green,4 GB RAM,64 GB ROM,13MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,"₹6,499",https://www.flipkart.com/motorola-e13-aurora-green-64-gb/p/itmb52d8f826cd9a?pid=MOBGKHNBA55HDSZR&lid=LSTMOBGKHNBA55HDSZRHOAFME&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGKHNBA55HDSZR.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)  (4 GB RAM)",Opal Green,4 GB RAM,64 GB ROM,13MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,"₹6,499",https://www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGKY2V7QZ2QVFS.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
 - ,"Infinix SMART 7 (Azure Blue, 64 GB)  (4 GB RAM)",Azure Blue,4 GB RAM,64 GB ROM,13MP + AI Lens,5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,"₹6,699",https://www.flipkart.com/infinix-smart-7-azure-blue-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2WYG2A2FM&lid=LSTMOBGMTW2WYG2A2FMSRLXTO&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGMTW2WYG2A2FM.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
SAMSUNG,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)  (4 GB RAM)",Jade Purple,4 GB RAM,64 GB ROM,13MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch) HD Display,5000 mAh Lithium-Ion Battery,"₹6,499",https://www.flipkart.com/samsung-galaxy-f04-jade-purple-64-gb/p/itm0934dc56a1df7?pid=MOBGKY2VTP3XETBR&lid=LSTMOBGKY2VTP3XETBRJKXEIM&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGKY2VTP3XETBR.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
MOTOROLA,"MOTOROLA e13 (Cosmic Black, 128 GB)  (8 GB RAM)",Cosmic Black,8 GB RAM,128 GB ROM,13MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Battery,"₹7,499",https://www.flipkart.com/motorola-e13-cosmic-black-128-gb/p/itm04a41c3c76631?pid=MOBGQFX6SFZXR7PK&lid=LSTMOBGQFX6SFZXR7PKZLDZYF&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_02-g3x_aY8RUwBmEfogSA3tTyQVU6Zrx5ZTI1NjjCsAzEuYul_gjBL2-AZ2H5NbvYAuhbTNEGlODikFlcGhHVw%3D%3D&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
 - ,"Infinix HOT 30i (Diamond White, 128 GB)  (8 GB RAM)",Diamond White,8 GB RAM,128 GB ROM,50MP + AI Lens,5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,"₹8,499",https://www.flipkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGNPK29ZWFHGGD.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
 - ,"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)",Glacier Blue,8 GB RAM,128 GB ROM,50MP + AI Lens,5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,"₹8,499",https://www.flipkart.com/infinix-hot-30i-glacier-blue-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2ZTGZBRXE&lid=LSTMOBGNPK2ZTGZBRXEAFQ5YT&marketplace=FLIPKART&q=Smartphone&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=c317bcb4-951b-4cf2-99d7-be42b6e714ea.MOBGNPK2ZTGZBRXE.SEARCH&ppt=hp&ppn=homepage&ssid=o938i47zbk0000001696546593038&qH=853ca16bda4f3d30
