Comments,Up-Votes,Time
As a Wolves fan I am absolutely stunned,3.2K,5 days ago
Wolves had 1 shot on target and won 2-1. You’ve gotta give it to them fair play,2.6K,5 days ago
"Thank you, Wolves. You did everyone, but City fans, a service.",869,5 days ago
"Honestly so happy for Wolves and O’Neil, fought like lions for those 3 points… Unreal.",1.2K,5 days ago
"As a wolves fan, I am stil shaking, what a game , what a result",1K,5 days ago
"Thank you Wolves.

Sincerely, Football fans.",611,5 days ago
As a wolves fan I had absolutely no hope for this game today but I went to the game today and we played like literal wolves out there ,257,5 days ago
That run from Neto. World class!,535,5 days ago
I’ll get on my knees tonight for wolves. Thank you on behalf of the other 18 teams in the PL.,741,5 days ago
As an arsenal fan I'm so happy. Well played wolves,231,5 days ago
"Hee Chan, the South Korean International leading Wolves this season. 4 goals in 6 games. Against quality opponents in most. Well done",145,5 days ago (edited)
No one talking about how calm and composed Cunha’s assist was. Didn’t try and get the glory but plays a cool pass for an on the plate goal ,13,4 days ago
Wolves been going at war they not letting Man City walking away with a point they showing real team spirit well deserved win,122,5 days ago
The assist for wolves second goal was top notch. Most players would have tried to turn and shoot but he must of known he'd struggle to score.,48,5 days ago
Fantastic 2nd goal for Wolves.. An exceptional example of unselfish decision making and vision by Cunha.. Brilliant teamwork!!,2,4 days ago (edited)
As a city fan the only positive I can take from this game is that free kick from Alvarez was absolute class,6,5 days ago
For wolves to only have THREE shots that game and stun city is absolute class . Credit to them. Now liverpool have a chance to go top ,261,5 days ago
Doing gods work thank you Wolves massive club,33,5 days ago
"As an Arsenal fan, this is a bigger win than our own for us ",45,5 days ago
Well done Wolves and thank you for making this league more interesting and competitive to watch.,17,5 days ago (edited)
"A truly magnificent performance today by Wolves played out of their skin and for the manager, taticly he got it spot on. Full credit to him, same again next week against the Villa",28,5 days ago
What a win for wolves. Unbelievable.,130,5 days ago
Wolves have fully suprised me this season. What a result,66,5 days ago
"At the game today, what an atmosphere, what fight, what heart!! AMAZING YOU WOLVES ",3,5 days ago
"No KDB, No Rodri, No goal threat other than Haaland and Alvarez, City are looking beatable right now this is very encouraging for Arsenal",30,5 days ago (edited)
